transactionId,gatewayReference,status,amount,currency,processedAt,responseCode,responseMessage,metadata
TXN-82941,GW-90000,SUCCESS,5000.0,INR,2026-08-01 08:01:05,00,Transaction approved,"{""source"": ""mock_gateway"", ""environment"": ""hackathon"", ""channel"": ""UPI""}"
TXN-90001,GW-90001,SUCCESS,1999.0,INR,2026-08-01 08:09:30,00,Transaction approved,"{""source"": ""mock_gateway"", ""environment"": ""hackathon"", ""channel"": ""CARD""}"
TXN-90002,GW-90002,SUCCESS,3499.0,INR,2026-08-01 08:17:16,00,Transaction approved,"{""source"": ""mock_gateway"", ""environment"": ""hackathon"", ""channel"": ""UPI""}"
TXN-90003,GW-90003,SUCCESS,3499.0,INR,2026-08-01 08:24:58,00,Transaction approved,"{""source"": ""mock_gateway"", ""environment"": ""hackathon"", ""channel"": ""CARD""}"
TXN-90004,GW-90004,SUCCESS,8999.0,INR,2026-08-01 08:28:23,00,Transaction approved,"{""source"": ""mock_gateway"", ""environment"": ""hackathon"", ""channel"": ""UPI""}"
TXN-90005,GW-90005,SUCCESS,499.0,INR,2026-08-01 08:37:54,00,Transaction approved,"{""source"": ""mock_gateway"", ""environment"": ""hackathon"", ""channel"": ""UPI""}"
TXN-90006,GW-90006,SUCCESS,1250.0,INR,2026-08-01 08:46:33,00,Transaction approved,"{""source"": ""mock_gateway"", ""environment"": ""hackathon"", ""channel"": ""NETBANKING""}"
TXN-90007,GW-90007,SUCCESS,1250.0,INR,2026-08-01 08:51:27,00,Transaction approved,"{""source"": ""mock_gateway"", ""environment"": ""hackathon"", ""channel"": ""NETBANKING""}"
TXN-90008,GW-90008,SUCCESS,4200.0,INR,2026-08-01 09:00:36,00,Transaction approved,"{""source"": ""mock_gateway"", ""environment"": ""hackathon"", ""channel"": ""CARD""}"
TXN-90009,GW-90009,SUCCESS,2499.0,INR,2026-08-01 09:03:33,00,Transaction approved,"{""source"": ""mock_gateway"", ""environment"": ""hackathon"", ""channel"": ""UPI""}"
TXN-90010,GW-90010,SUCCESS,799.0,INR,2026-08-01 09:14:26,00,Transaction approved,"{""source"": ""mock_gateway"", ""environment"": ""hackathon"", ""channel"": ""UPI""}"
