transactionId,amount,currency,paymentMethod,merchantId,customerReference,transactionStatus,transactionTimestamp
TXN-82941,5000.0,INR,UPI,MER-1042,ORD-90000,PENDING,2026-08-01 08:00:55
TXN-90001,1999.0,INR,CARD,MER-1022,ORD-90001,SUCCESS,2026-08-01 08:09:21
TXN-90002,3499.0,INR,UPI,MER-1075,ORD-90002,PENDING,2026-08-01 08:17:05
TXN-90003,3499.0,INR,CARD,MER-1057,ORD-90003,SUCCESS,2026-08-01 08:24:53
TXN-90004,8999.0,INR,UPI,MER-1030,ORD-90004,SUCCESS,2026-08-01 08:28:12
TXN-90005,499.0,INR,UPI,MER-1097,ORD-90005,SUCCESS,2026-08-01 08:37:37
TXN-90006,1250.0,INR,NETBANKING,MER-1057,ORD-90006,SUCCESS,2026-08-01 08:46:13
TXN-90007,1250.0,INR,NETBANKING,MER-1073,ORD-90007,SUCCESS,2026-08-01 08:51:20
TXN-90008,4200.0,INR,CARD,MER-1092,ORD-90008,PENDING,2026-08-01 09:00:29
TXN-90009,2499.0,INR,UPI,MER-1019,ORD-90009,SUCCESS,2026-08-01 09:03:08
TXN-90010,799.0,INR,UPI,MER-1097,ORD-90010,SUCCESS,2026-08-01 09:14:02
TXN-90011,199.0,INR,UPI,MER-1097,ORD-90011,FAILED,2026-08-01 09:21:52
TXN-90012,4999.0,INR,NETBANKING,MER-1092,ORD-90012,SUCCESS,2026-08-01 09:27:50
TXN-90013,4200.0,INR,NETBANKING,MER-1020,ORD-90013,SUCCESS,2026-08-01 09:35:02
TXN-90014,4999.0,INR,NETBANKING,MER-1020,ORD-90014,SUCCESS,2026-08-01 09:43:00
TXN-90015,799.0,INR,NETBANKING,MER-1045,ORD-90015,SUCCESS,2026-08-01 09:45:22
TXN-90016,299.0,INR,CARD,MER-1045,ORD-90016,SUCCESS,2026-08-01 09:56:40
TXN-90017,499.0,INR,CARD,MER-1048,ORD-90017,SUCCESS,2026-08-01 10:03:00
TXN-90018,199.0,INR,UPI,MER-1076,ORD-90018,SUCCESS,2026-08-01 10:10:00
TXN-90019,8999.0,INR,UPI,MER-1081,ORD-90019,SUCCESS,2026-08-01 10:15:00
TXN-90020,1599.0,INR,UPI,MER-1012,ORD-90020,PENDING,2026-08-01 10:23:12
TXN-90021,499.0,INR,NETBANKING,MER-1091,ORD-90021,SUCCESS,2026-08-01 10:29:02
TXN-90022,12500.0,INR,CARD,MER-1083,ORD-90022,SUCCESS,2026-08-01 10:35:02
TXN-90023,1999.0,INR,UPI,MER-1064,ORD-90023,SUCCESS,2026-08-01 10:46:52
TXN-90024,4999.0,INR,CARD,MER-1029,ORD-90024,SUCCESS,2026-08-01 10:52:14
TXN-90025,499.0,INR,NETBANKING,MER-1005,ORD-90025,SUCCESS,2026-08-01 10:58:58
TXN-90026,199.0,INR,CARD,MER-1008,ORD-90026,SUCCESS,2026-08-01 11:06:23
TXN-90027,199.0,INR,NETBANKING,MER-1021,ORD-90027,SUCCESS,2026-08-01 11:14:26
TXN-90028,999.0,INR,NETBANKING,MER-1070,ORD-90028,SUCCESS,2026-08-01 11:17:49
TXN-90029,1999.0,INR,UPI,MER-1067,ORD-90029,FAILED,2026-08-01 11:23:08
TXN-90030,1599.0,INR,CARD,MER-1079,ORD-90030,SUCCESS,2026-08-01 11:31:21
TXN-90031,6750.0,INR,CARD,MER-1047,ORD-90031,SUCCESS,2026-08-01 11:41:50
TXN-90032,999.0,INR,UPI,MER-1025,ORD-90032,SUCCESS,2026-08-01 11:44:31
TXN-90033,4999.0,INR,NETBANKING,MER-1015,ORD-90033,SUCCESS,2026-08-01 11:51:59
TXN-90034,499.0,INR,UPI,MER-1079,ORD-90034,SUCCESS,2026-08-01 11:59:49
TXN-90035,1599.0,INR,CARD,MER-1008,ORD-90035,SUCCESS,2026-08-01 12:08:55
TXN-90036,799.0,INR,NETBANKING,MER-1024,ORD-90036,SUCCESS,2026-08-01 12:15:27
TXN-90037,6750.0,INR,CARD,MER-1067,ORD-90037,SUCCESS,2026-08-01 12:23:02
TXN-90038,299.0,INR,NETBANKING,MER-1052,ORD-90038,SUCCESS,2026-08-01 12:27:35
TXN-90039,2499.0,INR,NETBANKING,MER-1032,ORD-90039,PENDING,2026-08-01 12:34:13
TXN-90040,12500.0,INR,UPI,MER-1068,ORD-90040,SUCCESS,2026-08-01 12:41:52
TXN-90041,299.0,INR,CARD,MER-1052,ORD-90041,SUCCESS,2026-08-01 12:50:46
TXN-90042,12500.0,INR,NETBANKING,MER-1031,ORD-90042,SUCCESS,2026-08-01 12:58:09
TXN-90043,1599.0,INR,CARD,MER-1087,ORD-90043,SUCCESS,2026-08-01 13:06:37
TXN-90044,799.0,INR,NETBANKING,MER-1090,ORD-90044,SUCCESS,2026-08-01 13:10:25
TXN-90045,12500.0,INR,CARD,MER-1018,ORD-90045,SUCCESS,2026-08-01 13:15:47
TXN-90046,2499.0,INR,CARD,MER-1062,ORD-90046,SUCCESS,2026-08-01 13:24:59
TXN-90047,3499.0,INR,NETBANKING,MER-1011,ORD-90047,SUCCESS,2026-08-01 13:31:38
TXN-90048,3499.0,INR,UPI,MER-1086,ORD-90048,SUCCESS,2026-08-01 13:37:12
TXN-90049,4999.0,INR,UPI,MER-1023,ORD-90049,SUCCESS,2026-08-01 13:46:54
TXN-90050,2899.0,INR,CARD,MER-1087,ORD-90050,SUCCESS,2026-08-01 13:53:36
TXN-90051,1599.0,INR,UPI,MER-1003,ORD-90051,SUCCESS,2026-08-01 14:00:24
TXN-90052,4999.0,INR,NETBANKING,MER-1060,ORD-90052,SUCCESS,2026-08-01 14:04:36
TXN-90053,4200.0,INR,NETBANKING,MER-1006,ORD-90053,SUCCESS,2026-08-01 14:14:10
TXN-90054,999.0,INR,CARD,MER-1017,ORD-90054,SUCCESS,2026-08-01 14:22:11
TXN-90055,4999.0,INR,CARD,MER-1085,ORD-90055,SUCCESS,2026-08-01 14:30:36
TXN-90056,799.0,INR,NETBANKING,MER-1100,ORD-90056,PENDING,2026-08-01 14:37:52
TXN-90057,199.0,INR,UPI,MER-1086,ORD-90057,SUCCESS,2026-08-01 14:40:30
TXN-90058,6750.0,INR,NETBANKING,MER-1079,ORD-90058,SUCCESS,2026-08-01 14:48:24
TXN-90059,12500.0,INR,CARD,MER-1054,ORD-90059,SUCCESS,2026-08-01 14:57:18
TXN-90060,4999.0,INR,CARD,MER-1052,ORD-90060,SUCCESS,2026-08-01 15:04:04
TXN-90061,199.0,INR,UPI,MER-1030,ORD-90061,FAILED,2026-08-01 15:07:02
TXN-90062,499.0,INR,CARD,MER-1076,ORD-90062,SUCCESS,2026-08-01 15:14:56
