transactionId,bankReference,status,amount,currency,settlementBatchId,receivedAt,settledAt,responseCode,responseMessage,metadata
TXN-82941,BNK-90000,PENDING,5000.0,INR,BATCH-20260801-18,2026-08-01 08:05:55,,P01,Settlement pending with acquiring bank,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90001,BNK-90001,SETTLED,1999.0,INR,BATCH-20260801-03,2026-08-01 08:17:21,2026-08-01 08:25:21,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90002,BNK-90002,PENDING,3499.0,INR,BATCH-20260801-12,2026-08-01 08:19:05,,P01,Settlement pending with acquiring bank,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90003,BNK-90003,SETTLED,3499.0,INR,BATCH-20260801-08,2026-08-01 08:31:53,2026-08-01 08:54:53,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90004,BNK-90004,SETTLED,8999.0,INR,BATCH-20260801-03,2026-08-01 08:35:12,2026-08-01 08:54:12,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90005,BNK-90005,SETTLED,499.0,INR,BATCH-20260801-09,2026-08-01 08:44:37,2026-08-01 09:13:37,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90005,BNK-90005-DUP,SETTLED,499.0,INR,BATCH-20260801-09,2026-08-01 08:44:37,2026-08-01 09:13:37,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""duplicateTest"": true}"
TXN-90006,BNK-90006,SETTLED,1250.0,INR,BATCH-20260801-14,2026-08-01 08:51:13,2026-08-01 09:09:13,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90007,BNK-90007,SETTLED,1250.0,INR,BATCH-20260801-02,2026-08-01 08:57:20,2026-08-01 09:23:20,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90008,BNK-90008,PENDING,4200.0,INR,BATCH-20260801-16,2026-08-01 09:05:29,,P01,Settlement pending with acquiring bank,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90009,BNK-90009,SETTLED,2499.0,INR,BATCH-20260801-17,2026-08-01 09:06:08,2026-08-01 09:19:08,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90010,BNK-90010,SETTLED,799.0,INR,BATCH-20260801-18,2026-08-01 09:17:02,2026-08-01 09:26:02,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90011,BNK-90011,REJECTED,199.0,INR,BATCH-20260801-13,2026-08-01 09:25:52,,R01,Settlement rejected by bank,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90012,BNK-90012,SETTLED,4999.0,INR,BATCH-20260801-08,2026-08-01 09:33:50,2026-08-01 09:51:50,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90013,BNK-90013,SETTLED,4200.0,INR,BATCH-20260801-01,2026-08-01 09:41:02,2026-08-01 10:02:02,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90014,BNK-90014,SETTLED,4999.0,INR,BATCH-20260801-18,2026-08-01 09:51:00,2026-08-01 10:05:00,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90015,BNK-90015,SETTLED,799.0,INR,BATCH-20260801-10,2026-08-01 09:51:22,2026-08-01 10:20:22,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90016,BNK-90016,SETTLED,299.0,INR,BATCH-20260801-05,2026-08-01 10:01:40,2026-08-01 10:18:40,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90017,BNK-90017,SETTLED,499.0,INR,BATCH-20260801-19,2026-08-01 10:06:00,2026-08-01 09:56:00,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90018,BNK-90018,SETTLED,199.0,INR,BATCH-20260801-19,2026-08-01 10:12:00,2026-08-01 10:31:00,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90019,BNK-90019,SETTLED,8999.0,INR,BATCH-20260801-10,2026-08-01 10:18:00,2026-08-01 10:34:00,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90020,BNK-90020,PENDING,1599.0,INR,BATCH-20260801-05,2026-08-01 10:28:12,,P01,Settlement pending with acquiring bank,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90021,BNK-90021,SETTLED,499.0,INR,BATCH-20260801-15,2026-08-01 10:32:02,2026-08-01 11:00:02,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90022,BNK-90022,SETTLED,12500.0,INR,BATCH-20260801-16,2026-08-01 10:39:02,2026-08-01 11:01:02,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90023,BNK-90023,SETTLED,1999.0,INR,BATCH-20260801-14,2026-08-01 10:54:52,2026-08-01 11:02:52,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90024,BNK-90024,SETTLED,4999.0,INR,BATCH-20260801-19,2026-08-01 10:56:14,2026-08-01 11:17:14,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90025,BNK-90025,SETTLED,499.0,INR,BATCH-20260801-06,2026-08-01 11:01:58,2026-08-01 11:30:58,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90026,BNK-90026,SETTLED,199.0,INR,BATCH-20260801-18,2026-08-01 11:13:23,2026-08-01 11:31:23,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90027,BNK-90027,SETTLED,199.0,INR,BATCH-20260801-04,2026-08-01 11:22:26,2026-08-01 11:51:26,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90028,BNK-90028,SETTLED,999.0,INR,BATCH-20260801-08,2026-08-01 11:24:49,2026-08-01 11:38:49,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90029,BNK-90029,REJECTED,1999.0,INR,BATCH-20260801-19,2026-08-01 11:27:08,,R01,Settlement rejected by bank,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90030,BNK-90030,SETTLED,1599.0,INR,BATCH-20260801-18,2026-08-01 11:39:21,2026-08-01 11:58:21,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90031,BNK-90031,SETTLED,6750.0,INR,BATCH-20260801-09,2026-08-01 11:45:50,2026-08-01 12:04:50,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90032,BNK-90032,SETTLED,999.0,INR,BATCH-20260801-16,2026-08-01 11:49:31,2026-08-01 11:58:31,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90033,BNK-90033,SETTLED,4999.0,INR,BATCH-20260801-07,2026-08-01 11:55:59,2026-08-01 12:20:59,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90034,BNK-90034,SETTLED,499.0,INR,BATCH-20260801-05,2026-08-01 12:01:49,2026-08-01 12:25:49,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90035,BNK-90035,SETTLED,1599.0,INR,BATCH-20260801-02,2026-08-01 12:13:55,2026-08-01 12:21:55,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90036,BNK-90036,SETTLED,799.0,INR,BATCH-20260801-09,2026-08-01 12:18:27,2026-08-01 12:37:27,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90037,BNK-90037,SETTLED,6750.0,INR,BATCH-20260801-16,2026-08-01 12:31:02,2026-08-01 12:55:02,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90038,BNK-90038,SETTLED,299.0,INR,BATCH-20260801-03,2026-08-01 12:30:35,2026-08-01 12:40:35,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
TXN-90038,BNK-90038-DUP,SETTLED,299.0,INR,BATCH-20260801-03,2026-08-01 12:30:35,2026-08-01 12:40:35,00,Settlement completed,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""duplicateTest"": true}"
TXN-90039,BNK-90039,PENDING,2499.0,INR,BATCH-20260801-10,2026-08-01 12:40:13,,P01,Settlement pending with acquiring bank,"{""source"": ""mock_bank"", ""environment"": ""hackathon"", ""batchType"": ""standard""}"
