transactionId,ledgerReference,status,amount,currency,postedAt,entryType,accountReference,metadata
TXN-90001,LED-90001,POSTED,1999.0,INR,2026-08-01 08:38:21,CREDIT,ACC-1022,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90003,LED-90003,POSTED,3499.0,INR,2026-08-01 08:58:53,CREDIT,ACC-1057,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90004,LED-90004,POSTED,8999.0,INR,2026-08-01 08:56:12,CREDIT,ACC-1030,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90005,LED-90005,POSTED,499.0,INR,2026-08-01 09:16:37,CREDIT,ACC-1097,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90006,LED-90006,POSTED,1250.0,INR,2026-08-01 09:28:13,CREDIT,ACC-1057,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90007,LED-90007,POSTED,1250.0,INR,2026-08-01 09:16:20,CREDIT,ACC-1073,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90009,LED-90009,POSTED,2499.0,INR,2026-08-01 09:39:08,CREDIT,ACC-1019,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90010,LED-90010,POSTED,799.0,INR,2026-08-01 09:37:02,CREDIT,ACC-1097,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90012,LED-90012,POSTED,4999.0,INR,2026-08-01 09:51:50,CREDIT,ACC-1092,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90013,LED-90013,POSTED,4200.0,INR,2026-08-01 10:03:02,CREDIT,ACC-1020,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90014,LED-90014,POSTED,4999.0,INR,2026-08-01 10:08:00,CREDIT,ACC-1020,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90015,LED-90015,POSTED,799.0,INR,2026-08-01 10:24:22,CREDIT,ACC-1045,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90016,LED-90016,POSTED,299.0,INR,2026-08-01 10:31:40,CREDIT,ACC-1045,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90017,LED-90017,POSTED,499.0,INR,2026-08-01 09:53:00,CREDIT,ACC-1048,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90018,LED-90018,POSTED,199.0,INR,2026-08-01 10:55:00,CREDIT,ACC-1076,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90019,LED-90019,POSTED,8999.0,INR,2026-08-01 10:41:00,CREDIT,ACC-1081,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90021,LED-90021,POSTED,499.0,INR,2026-08-01 10:55:02,CREDIT,ACC-1091,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90022,LED-90022,POSTED,12500.0,INR,2026-08-01 11:10:02,CREDIT,ACC-1083,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90023,LED-90023,POSTED,1999.0,INR,2026-08-01 11:26:52,CREDIT,ACC-1064,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90024,LED-90024,POSTED,4999.0,INR,2026-08-01 11:33:14,CREDIT,ACC-1029,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90025,LED-90025,POSTED,499.0,INR,2026-08-01 11:36:58,CREDIT,ACC-1005,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
